episode,algo,difficulty,total_reward,score,steps_survived,result,epsilon
126,reinforce,0,-828.0,320,168,lose,0.0
127,reinforce,0,-828.0,220,124,lose,0.0
128,reinforce,0,-852.0,210,122,lose,0.0
129,reinforce,0,-985.5,440,279,lose,0.0
130,reinforce,0,-930.0,270,176,lose,0.0
131,reinforce,0,-766.5,160,67,lose,0.0
132,reinforce,0,-918.5,290,193,lose,0.0
133,reinforce,0,-926.5,320,203,lose,0.0
134,reinforce,0,-887.5,380,215,lose,0.0
135,reinforce,0,-775.0,250,108,lose,0.0
136,reinforce,0,-851.5,160,99,lose,0.0
137,reinforce,0,-868.0,160,114,lose,0.0
138,reinforce,0,-741.0,350,156,lose,0.0
139,reinforce,0,-990.0,360,248,lose,0.0
140,reinforce,0,-1137.0,530,396,lose,0.0
141,reinforce,0,-894.0,420,248,lose,0.0
142,reinforce,0,-881.5,360,199,lose,0.0
143,reinforce,0,-911.0,110,94,lose,0.0
144,reinforce,0,-885.0,370,220,lose,0.0
145,reinforce,0,-824.0,210,120,lose,0.0
146,reinforce,0,-870.0,160,100,lose,0.0
147,reinforce,0,-924.0,240,164,lose,0.0
148,reinforce,0,-862.5,260,153,lose,0.0
149,reinforce,0,-889.0,500,266,lose,0.0
150,reinforce,0,-1139.5,400,333,lose,0.0
151,reinforce,0,-837.5,170,91,lose,0.0
152,reinforce,0,-1038.0,340,268,lose,0.0
153,reinforce,0,-1146.0,380,324,lose,0.0
154,reinforce,0,-838.0,350,182,lose,0.0
155,reinforce,0,-883.0,200,128,lose,0.0
156,reinforce,0,-779.0,340,152,lose,0.0
157,reinforce,0,-854.5,190,117,lose,0.0
158,reinforce,0,-926.5,430,249,lose,0.0
159,reinforce,0,-815.0,370,176,lose,0.0
160,reinforce,0,-878.5,180,109,lose,0.0
161,reinforce,0,-866.5,170,119,lose,0.0
162,reinforce,0,-925.0,310,204,lose,0.0
163,reinforce,0,-866.5,280,165,lose,0.0
164,reinforce,0,-997.0,300,226,lose,0.0
165,reinforce,0,-844.0,180,106,lose,0.0
166,reinforce,0,-1213.5,390,365,lose,0.0
167,reinforce,0,-967.0,430,282,lose,0.0
168,reinforce,0,-777.0,280,124,lose,0.0
169,reinforce,0,-890.0,240,156,lose,0.0
170,reinforce,0,-895.0,490,282,lose,0.0
171,reinforce,0,-1019.0,320,250,lose,0.0
172,reinforce,0,-813.0,190,100,lose,0.0
173,reinforce,0,-889.5,290,171,lose,0.0
174,reinforce,0,-701.5,320,119,lose,0.0
175,reinforce,0,-940.5,430,271,lose,0.0
176,reinforce,0,-970.5,410,255,lose,0.0
177,reinforce,0,-1107.5,500,361,lose,0.0
178,reinforce,0,-1025.5,420,289,lose,0.0
179,reinforce,0,-889.0,210,136,lose,0.0
180,reinforce,0,-915.0,210,152,lose,0.0
181,reinforce,0,-799.5,230,99,lose,0.0
182,reinforce,0,-755.5,260,113,lose,0.0
183,reinforce,0,-869.0,240,144,lose,0.0
184,reinforce,0,-1129.0,380,332,lose,0.0
185,reinforce,0,-859.5,470,243,lose,0.0
186,reinforce,0,-904.0,220,150,lose,0.0
187,reinforce,0,-893.5,310,201,lose,0.0
188,reinforce,0,-925.5,380,243,lose,0.0
189,reinforce,0,-737.0,410,166,lose,0.0
190,reinforce,0,-1029.0,340,262,lose,0.0
191,reinforce,0,-904.5,160,115,lose,0.0
192,reinforce,0,-796.5,220,109,lose,0.0
193,reinforce,0,-902.0,230,154,lose,0.0
194,reinforce,0,-871.5,300,173,lose,0.0
195,reinforce,0,-795.5,460,215,lose,0.0
196,reinforce,0,-1299.5,330,363,lose,0.0
197,reinforce,0,-879.0,280,172,lose,0.0
198,reinforce,0,-969.5,420,285,lose,0.0
199,reinforce,0,-735.5,240,93,lose,0.0
200,reinforce,0,-852.5,210,135,lose,0.0
