episode,algo,difficulty,total_reward,score,steps_survived,result,epsilon
102,montecarlo,0,-592.0,740,302,lose,0.05
103,montecarlo,0,-784.0,730,400,timeout,0.05
104,montecarlo,0,-936.0,510,314,lose,0.05
105,montecarlo,0,-635.0,880,392,lose,0.05
106,montecarlo,0,-807.0,710,400,timeout,0.05
107,montecarlo,0,-744.0,540,400,timeout,0.05
108,montecarlo,0,-821.0,690,372,lose,0.05
109,montecarlo,0,-1084.0,440,368,lose,0.05
110,montecarlo,0,-790.0,610,400,timeout,0.05
111,montecarlo,0,-969.5,640,347,lose,0.05
112,montecarlo,0,-823.5,650,375,lose,0.05
113,montecarlo,0,-899.5,680,335,lose,0.05
114,montecarlo,0,-900.0,470,400,timeout,0.05
115,montecarlo,0,-454.0,680,400,timeout,0.05
116,montecarlo,0,-641.0,680,274,lose,0.05
117,montecarlo,0,-723.0,640,286,lose,0.05
118,montecarlo,0,-662.5,800,299,lose,0.05
119,montecarlo,0,-915.0,560,360,lose,0.05
120,montecarlo,0,-385.0,660,400,timeout,0.05
121,montecarlo,0,-853.0,580,330,lose,0.05
122,montecarlo,0,-553.0,740,400,timeout,0.05
123,montecarlo,0,-557.0,550,400,timeout,0.05
124,montecarlo,0,-1092.5,450,375,lose,0.05
125,montecarlo,0,-694.5,700,301,lose,0.05
126,montecarlo,0,-1045.5,420,317,lose,0.05
127,montecarlo,0,-764.5,720,349,lose,0.05
128,montecarlo,0,-597.0,770,400,timeout,0.05
129,montecarlo,0,-1056.0,440,348,lose,0.05
130,montecarlo,0,-1017.0,440,400,timeout,0.05
131,montecarlo,0,-496.0,570,400,timeout,0.05
132,montecarlo,0,-1056.5,490,389,lose,0.05
133,montecarlo,0,-406.5,940,289,lose,0.05
134,montecarlo,0,-445.0,890,284,lose,0.05
135,montecarlo,0,-501.0,750,400,timeout,0.05
136,montecarlo,0,-444.0,610,400,timeout,0.05
137,montecarlo,0,-225.0,990,400,timeout,0.05
138,montecarlo,0,-535.0,680,400,timeout,0.05
139,montecarlo,0,-677.0,520,400,timeout,0.05
140,montecarlo,0,-706.0,440,400,timeout,0.05
141,montecarlo,0,-481.0,770,400,timeout,0.05
142,montecarlo,0,-1044.5,550,347,lose,0.05
143,montecarlo,0,-620.0,720,400,timeout,0.05
144,montecarlo,0,-686.0,690,400,timeout,0.05
145,montecarlo,0,-127.0,760,400,timeout,0.05
146,montecarlo,0,-850.0,650,356,lose,0.05
147,montecarlo,0,-608.0,710,274,lose,0.05
148,montecarlo,0,-547.5,770,327,lose,0.05
149,montecarlo,0,-746.5,730,381,lose,0.05
150,montecarlo,0,-899.0,660,400,timeout,0.05
151,montecarlo,0,-747.0,710,400,timeout,0.05
152,montecarlo,0,-880.0,490,400,timeout,0.05
153,montecarlo,0,-653.5,880,351,lose,0.05
154,montecarlo,0,-689.5,670,321,lose,0.05
155,montecarlo,0,-953.5,670,375,lose,0.05
156,montecarlo,0,-806.5,710,371,lose,0.05
157,montecarlo,0,-679.0,700,400,timeout,0.05
158,montecarlo,0,-747.0,710,400,timeout,0.05
159,montecarlo,0,-482.0,780,400,timeout,0.05
160,montecarlo,0,-411.0,810,400,timeout,0.05
161,montecarlo,0,-739.5,730,355,lose,0.05
162,montecarlo,0,-352.0,800,236,lose,0.05
163,montecarlo,0,-723.0,710,400,timeout,0.05
164,montecarlo,0,-360.0,750,400,timeout,0.05
165,montecarlo,0,-727.5,800,351,lose,0.05
166,montecarlo,0,-690.0,680,400,timeout,0.05
167,montecarlo,0,-669.5,530,217,lose,0.05
168,montecarlo,0,-275.0,910,400,timeout,0.05
169,montecarlo,0,-1140.5,510,387,lose,0.05
170,montecarlo,0,-874.5,720,395,lose,0.05
171,montecarlo,0,-832.0,750,394,lose,0.05
172,montecarlo,0,-610.0,760,400,timeout,0.05
173,montecarlo,0,-354.0,700,400,timeout,0.05
174,montecarlo,0,-628.0,790,400,timeout,0.05
175,montecarlo,0,-644.0,740,304,lose,0.05
176,montecarlo,0,-741.0,630,314,lose,0.05
177,montecarlo,0,-426.0,910,328,lose,0.05
178,montecarlo,0,-642.0,710,400,timeout,0.05
179,montecarlo,0,-735.0,770,396,lose,0.05
180,montecarlo,0,-748.0,720,340,lose,0.05
181,montecarlo,0,-286.0,690,400,timeout,0.05
182,montecarlo,0,-561.0,690,400,timeout,0.05
183,montecarlo,0,-619.5,780,317,lose,0.05
184,montecarlo,0,-935.0,580,392,lose,0.05
185,montecarlo,0,-757.0,480,262,lose,0.05
186,montecarlo,0,-674.0,630,400,timeout,0.05
187,montecarlo,0,-522.0,800,400,timeout,0.05
188,montecarlo,0,-553.5,780,299,lose,0.05
189,montecarlo,0,-743.5,650,347,lose,0.05
190,montecarlo,0,-629.5,790,339,lose,0.05
191,montecarlo,0,-803.5,680,341,lose,0.05
192,montecarlo,0,-678.5,760,323,lose,0.05
193,montecarlo,0,-657.5,700,305,lose,0.05
194,montecarlo,0,-648.0,790,400,lose,0.05
195,montecarlo,0,-550.0,860,362,lose,0.05
196,montecarlo,0,-253.0,690,400,timeout,0.05
197,montecarlo,0,-864.0,500,400,timeout,0.05
198,montecarlo,0,-375.0,780,400,timeout,0.05
199,montecarlo,0,-816.0,710,400,timeout,0.05
200,montecarlo,0,-298.0,950,400,timeout,0.05
